AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0379817,TGT,stimuli_raw/wav/Mnirbhay2.wav,5,Mnirbhay2_5,ENG,21.19,20.64,kʰ,M,Mnirbhay,AKHA,0.2401916756188072
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0965257,TGT,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,kʰ,F,Fbhavya,AKHA,0.25024316860158174
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,63.858059999999995,64.39471,FNiralee1_4,AKHA,4,F,kʰ,ENG,t_0380923,TGT,stimuli_raw/wav/Mnirbhay2.wav,6,Mnirbhay2_6,ENG,24.19,23.67,kʰ,M,Mnirbhay,AKHA,0.22222545769487062
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,37.05,37.47,Mrajesh1_5,AKHA,5,M,kʰ,ENG,t_0482897,TGT,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,F,Fbhavya,AKHA,0.2654285710903339
TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,17.15,17.81,FNiralee2_4,AKHA,4,F,kʰ,ENG,t_0861427,TGT,stimuli_raw/wav/Mnirbhay1.wav,6,Mnirbhay1_6,ENG,30.12,29.65,kʰ,M,Mnirbhay,AKHA,0.24185186637430706
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_0964611,TGT,stimuli_raw/wav/Fbhavya1.wav,5,Fbhavya1_5,ENG,41.29,40.87,kʰ,F,Fbhavya,AKHA,0.24142263409392753
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0482266,TGT,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.782120000000003,20.36,kʰ,F,Fbhavya,AKHA,0.24953651040124222
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0381041,TGT,stimuli_raw/wav/Mnirbhay2.wav,6,Mnirbhay2_6,ENG,24.19,23.67,kʰ,M,Mnirbhay,AKHA,0.2128754308119884
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,65.94037,66.46534,FNiralee1_5,AKHA,5,F,kʰ,ENG,t_0861041,TGT,stimuli_raw/wav/Mnirbhay1.wav,5,Mnirbhay1_5,ENG,28.24,27.76,kʰ,M,Mnirbhay,AKHA,0.2105931362243731
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,22.591720000000002,22.99,Mrajesh2_6,AKHA,6,M,kʰ,ENG,t_0965397,TGT,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,kʰ,F,Fbhavya,AKHA,0.24284073761742217
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0481666,TGT,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.782120000000003,20.36,kʰ,F,Fbhavya,AKHA,0.24953651040124222
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,22.2458,22.8,FNiralee2_6,AKHA,6,F,kʰ,ENG,t_0380070,TGT,stimuli_raw/wav/Mnirbhay2.wav,5,Mnirbhay2_5,ENG,21.19,20.64,kʰ,M,Mnirbhay,AKHA,0.2426485867704737
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0481684,TGT,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.782120000000003,20.36,kʰ,F,Fbhavya,AKHA,0.24156235305945384
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,65.94037,66.46534,FNiralee1_5,AKHA,5,F,kʰ,ENG,t_0859511,TGT,stimuli_raw/wav/Mnirbhay1.wav,4,Mnirbhay1_4,ENG,26.387620000000002,25.88,kʰ,M,Mnirbhay,AKHA,0.2231179951236468
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0964777,TGT,stimuli_raw/wav/Fbhavya1.wav,5,Fbhavya1_5,ENG,41.29,40.87,kʰ,F,Fbhavya,AKHA,0.25153433721790397
