phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɳ,ʃ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,284.16595,284.58224,Mrajesh2_106,ANRA,106,M,t_0611713,OTH,stimuli_raw/wav/FNiralee2.wav,83,FNiralee2_83,ENG,333.84978,333.35,F,FNiralee,AXA,0.33193558924000854
ɳ,ɾ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,406.98305,407.46443999999997,FNiralee2_107,ANRA,107,F,t_0962198,OTH,stimuli_raw/wav/Mrajesh2.wav,74,Mrajesh2_74,ENG,200.53,200.12353000000002,M,Mrajesh,ARA,0.21768126442612215
ɳ,b,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,409.34166,409.81446999999997,FNiralee2_108,ANRA,108,F,t_0958545,OTH,stimuli_raw/wav/Mrajesh2.wav,62,Mrajesh2_62,ENG,171.12,170.72062,M,Mrajesh,ABA,0.33205131278572975
ɳ,g,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,406.98305,407.46443999999997,FNiralee2_107,ANRA,107,F,t_0960776,OTH,stimuli_raw/wav/Mrajesh1.wav,8,Mrajesh1_8,ENG,55.77,55.35,M,Mrajesh,AGA,0.2934941358708228
ɳ,m,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,285.91694,286.28,Mrajesh2_107,ANRA,107,M,t_0617450,OTH,stimuli_raw/wav/FNiralee1.wav,69,FNiralee1_69,ENG,528.44725,527.96823,F,FNiralee,AMA,0.34597438411488135
ɳ,tʰ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,409.34166,409.81446999999997,FNiralee2_108,ANRA,108,F,t_0480894,OTH,stimuli_raw/wav/Mrajesh2.wav,44,Mrajesh2_44,ENG,121.36,120.94246000000001,M,Mrajesh,ATHA,0.35811541829862453
ɳ,t͡ʃʰ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,345.91035,346.34256,Mrajesh1_107,ANRA,107,M,t_0614804,OTH,stimuli_raw/wav/FNiralee1.wav,17,FNiralee1_17,ENG,144.56335,144.06573,F,FNiralee,ATXHA,0.3964577594851047
ɦ,ɳ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,362.16167,362.66,FNiralee2_93,AHHA,93,F,t_0946719,OTH,stimuli_raw/wav/Mrajesh2.wav,108,Mrajesh2_108,HIN,288.00268,287.62501000000003,M,Mrajesh,ANRA,0.3462735700032758
ɦ,ɽ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,357.27,357.75,FNiralee2_91,AHHA,91,F,t_0946645,OTH,stimuli_raw/wav/Mrajesh2.wav,104,Mrajesh2_104,HIN,279.82,279.4325,M,Mrajesh,ARTA,0.34520366337701663
ɦ,ɡʱ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,308.05748,308.45133,Mrajesh1_93,AHHA,93,M,t_0595821,OTH,stimuli_raw/wav/FNiralee2.wav,12,FNiralee2_12,HIN,48.883959999999995,48.25,F,FNiralee,AGHA,0.3061261354906361
