phone_1,phone_2,language_1,mean_dist,sd_dist,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɽ,ɾ,HIN,0.2681368433664354,0.003234155268975587,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,277.64776,278.03,Mrajesh2_103,ARTA,103,M,t_1094818,OTH,stimuli_raw/wav/FNiralee2.wav,75,FNiralee2_75,ENG,308.06,307.58,F,FNiralee,ARA,0.26584995024433256
ɽ,ʃ,HIN,0.35805423025488825,0.03802185425028593,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,336.57115,336.99044,Mrajesh1_103,ARTA,103,M,t_1092532,OTH,stimuli_raw/wav/FNiralee2.wav,83,FNiralee2_83,ENG,333.84978,333.35,F,FNiralee,AXA,0.33116871928122454
ɽ,ɦ,HIN,0.34771810438969,0.006784816331844714,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,398.96571,399.37433,FNiralee2_104,ARTA,104,F,t_0474449,OTH,stimuli_raw/wav/Mrajesh2.wav,92,Mrajesh2_92,ENG,247.21041,246.80321,M,Mrajesh,AHHA,0.3525156940270426
ɽ,b,HIN,0.32727929250331067,0.04281806737998411,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,340.15351,340.55942999999996,Mrajesh1_105,ARTA,105,M,t_0606849,OTH,stimuli_raw/wav/FNiralee2.wav,62,FNiralee2_62,ENG,211.32,210.86227000000002,F,FNiralee,ABA,0.2970023467016214
ɽ,d,HIN,0.3044545341395932,7.18599009092233e-4,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,281.28485,281.60483999999997,Mrajesh2_105,ARTA,105,M,t_0604455,OTH,stimuli_raw/wav/FNiralee2.wav,48,FNiralee2_48,ENG,165.19,164.70264,F,FNiralee,ADA,0.30394640790731015
ɽ,d͡ʒ,HIN,0.33267896847048956,0.00139281188146509,OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,740.16825,740.64706,Mnirbhay1_104,ARTA,104,M,t_0850541,OTH,stimuli_raw/wav/Fbhavya2.wav,20,Fbhavya2_20,ENG,65.65195,65.26,F,Fbhavya,ADXA,0.3316941017441884
ɽ,g,HIN,0.31436488224852055,0.014172389710263415,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,909.12643,909.5418199999999,FNiralee1_108,ARTA,108,F,t_0954684,OTH,stimuli_raw/wav/Mrajesh2.wav,8,Mrajesh2_8,ENG,28.97,28.58212,M,Mrajesh,AGA,0.32438627511826623
ɽ,j,HIN,0.3196878679252087,0.019037656517471573,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,396.54195,396.95617000000004,FNiralee2_103,ARTA,103,F,t_0471550,OTH,stimuli_raw/wav/Mrajesh1.wav,70,Mrajesh1_70,ENG,247.27077000000003,246.88,M,Mrajesh,AJA,0.3062262119038043
ɽ,l,HIN,0.2672590950291276,0.030463324430439944,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,909.12643,909.5418199999999,FNiralee1_108,ARTA,108,F,t_0475161,OTH,stimuli_raw/wav/Mrajesh1.wav,76,Mrajesh1_76,ENG,264.25548,263.88766,M,Mrajesh,ALA,0.28879991831137747
ɽ,m,HIN,0.33609680995044355,0.010963482711969699,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,281.28485,281.60483999999997,Mrajesh2_105,ARTA,105,M,t_1090080,OTH,stimuli_raw/wav/FNiralee2.wav,70,FNiralee2_70,ENG,294.14,293.59,F,FNiralee,AMA,0.3438491629214988
