AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id,distance_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,phone_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,phone_TGT,sex_TGT,speaker_TGT,word_TGT
TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0379817,0.254960323489065,stimuli_raw/wav/Mrajesh2.wav,11,Mrajesh2_11,HIN,36.21,35.80924,ɡʱ,M,Mrajesh,AGHA,0.240191675618807,stimuli_raw/wav/Mnirbhay2.wav,5,Mnirbhay2_5,ENG,21.19,20.64,kʰ,M,Mnirbhay,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0965257,0.280763926832446,stimuli_raw/wav/FNiralee2.wav,12,FNiralee2_12,HIN,48.88396,48.25,ɡʱ,F,FNiralee,AGHA,0.250243168601582,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,kʰ,F,Fbhavya,AKHA
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,63.858059999999995,64.39471,FNiralee1_4,AKHA,4,F,kʰ,ENG,t_0380923,0.36691794430959,stimuli_raw/wav/Mrajesh2.wav,25,Mrajesh2_25,HIN,74.9988,74.65066,d͡ʒʱ,M,Mrajesh,ADXHA,0.222225457694871,stimuli_raw/wav/Mnirbhay2.wav,6,Mnirbhay2_6,ENG,24.19,23.67,kʰ,M,Mnirbhay,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,37.05,37.47,Mrajesh1_5,AKHA,5,M,kʰ,ENG,t_0482897,0.278900917456028,stimuli_raw/wav/FNiralee2.wav,25,FNiralee2_25,HIN,94.09103,93.5,d͡ʒʱ,F,FNiralee,ADXHA,0.265428571090334,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,F,Fbhavya,AKHA
TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,17.15,17.81,FNiralee2_4,AKHA,4,F,kʰ,ENG,t_0861427,0.260862991052947,stimuli_raw/wav/Mrajesh1.wav,32,Mrajesh1_32,HIN,140.09,139.68812,ʈʰ,M,Mrajesh,ATRHA,0.241851866374307,stimuli_raw/wav/Mnirbhay1.wav,6,Mnirbhay1_6,ENG,30.12,29.65,kʰ,M,Mnirbhay,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_0964611,0.255612343399688,stimuli_raw/wav/FNiralee1.wav,33,FNiralee1_33,HIN,261.06865,260.56219,ʈʰ,F,FNiralee,ATRHA,0.241422634093928,stimuli_raw/wav/Fbhavya1.wav,5,Fbhavya1_5,ENG,41.29,40.87,kʰ,F,Fbhavya,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0482266,0.356829112173884,stimuli_raw/wav/FNiralee1.wav,35,FNiralee1_35,HIN,278.81684,278.36311,ɖ,F,FNiralee,ADRA,0.249536510401242,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.78212,20.36,kʰ,F,Fbhavya,AKHA
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0381041,0.360425272058143,stimuli_raw/wav/Mrajesh2.wav,35,Mrajesh2_35,HIN,98.85,98.4695,ɖ,M,Mrajesh,ADRA,0.212875430811988,stimuli_raw/wav/Mnirbhay2.wav,6,Mnirbhay2_6,ENG,24.19,23.67,kʰ,M,Mnirbhay,AKHA
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,65.94037,66.46534,FNiralee1_5,AKHA,5,F,kʰ,ENG,t_0861041,0.293125523268506,stimuli_raw/wav/Mrajesh2.wav,39,Mrajesh2_39,HIN,107.66,107.24923,ɖʱ,M,Mrajesh,ADRHA,0.210593136224373,stimuli_raw/wav/Mnirbhay1.wav,5,Mnirbhay1_5,ENG,28.24,27.76,kʰ,M,Mnirbhay,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,22.591720000000002,22.99,Mrajesh2_6,AKHA,6,M,kʰ,ENG,t_0965397,0.284952990683433,stimuli_raw/wav/FNiralee2.wav,38,FNiralee2_38,HIN,135.24376,134.74537,ɖʱ,F,FNiralee,ADRHA,0.242840737617422,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,kʰ,F,Fbhavya,AKHA
