AB_Order,phone_TGT,phone_OTH,speaker_TGT,speaker_OTH,speaker_X,file_TGT,onset_TGT,offset_TGT,item_TGT,word_TGT,interval_TGT,sex_TGT,language_TGT,file_OTH,onset_OTH,offset_OTH,item_OTH,word_OTH,interval_OTH,sex_OTH,language_OTH,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id
TgtOth,kʰ,ɡʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay2.wav,20.64,21.19,Mnirbhay2_5,AKHA,5,M,ENG,stimuli_raw/wav/Mrajesh2.wav,35.80924,36.21,Mrajesh2_11,AGHA,11,M,HIN,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0379817
OthTgt,kʰ,ɡʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,42.9,43.35,Fbhavya1_6,AKHA,6,F,ENG,stimuli_raw/wav/FNiralee2.wav,48.25,48.88396,FNiralee2_12,AGHA,12,F,HIN,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0965257
TgtOth,kʰ,d͡ʒʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay2.wav,23.67,24.19,Mnirbhay2_6,AKHA,6,M,ENG,stimuli_raw/wav/Mrajesh2.wav,74.65066,74.9988,Mrajesh2_25,ADXHA,25,M,HIN,stimuli_raw/wav/FNiralee1.wav,63.85806,64.39471,FNiralee1_4,AKHA,4,F,kʰ,ENG,t_0380923
OthTgt,kʰ,d͡ʒʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,22.68,23.06,Fbhavya2_5,AKHA,5,F,ENG,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,HIN,stimuli_raw/wav/Mrajesh1.wav,37.05,37.47,Mrajesh1_5,AKHA,5,M,kʰ,ENG,t_0482897
TgtOth,kʰ,ʈʰ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,ENG,stimuli_raw/wav/Mrajesh1.wav,139.68812,140.09,Mrajesh1_32,ATRHA,32,M,HIN,stimuli_raw/wav/FNiralee2.wav,17.15,17.81,FNiralee2_4,AKHA,4,F,kʰ,ENG,t_0861427
OthTgt,kʰ,ʈʰ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,ENG,stimuli_raw/wav/FNiralee1.wav,260.56219,261.06865,FNiralee1_33,ATRHA,33,F,HIN,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_0964611
TgtOth,kʰ,ɖ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,20.36,20.782120000000006,Fbhavya2_4,AKHA,4,F,ENG,stimuli_raw/wav/FNiralee1.wav,278.36311,278.81684,FNiralee1_35,ADRA,35,F,HIN,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0482266
OthTgt,kʰ,ɖ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay2.wav,23.67,24.19,Mnirbhay2_6,AKHA,6,M,ENG,stimuli_raw/wav/Mrajesh2.wav,98.4695,98.85,Mrajesh2_35,ADRA,35,M,HIN,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0381041
TgtOth,kʰ,ɖʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,ENG,stimuli_raw/wav/Mrajesh2.wav,107.24923,107.66,Mrajesh2_39,ADRHA,39,M,HIN,stimuli_raw/wav/FNiralee1.wav,65.94037,66.46534,FNiralee1_5,AKHA,5,F,kʰ,ENG,t_0861041
OthTgt,kʰ,ɖʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,42.9,43.35,Fbhavya1_6,AKHA,6,F,ENG,stimuli_raw/wav/FNiralee2.wav,134.74537,135.24376,FNiralee2_38,ADRHA,38,F,HIN,stimuli_raw/wav/Mrajesh2.wav,22.59172,22.99,Mrajesh2_6,AKHA,6,M,kʰ,ENG,t_0965397
TgtOth,kʰ,dʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,20.36,20.782120000000006,Fbhavya2_4,AKHA,4,F,ENG,stimuli_raw/wav/FNiralee2.wav,176.12967,176.65,FNiralee2_50,ADHA,50,F,HIN,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0481666
OthTgt,kʰ,dʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay2.wav,20.64,21.19,Mnirbhay2_5,AKHA,5,M,ENG,stimuli_raw/wav/Mrajesh2.wav,137.93788,138.28,Mrajesh2_49,ADHA,49,M,HIN,stimuli_raw/wav/FNiralee2.wav,22.2458,22.8,FNiralee2_6,AKHA,6,F,kʰ,ENG,t_0380070
TgtOth,kʰ,bʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,20.36,20.782120000000006,Fbhavya2_4,AKHA,4,F,ENG,stimuli_raw/wav/FNiralee2.wav,229.61735,230.12498,FNiralee2_64,ABHA,64,F,HIN,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0481684
OthTgt,kʰ,bʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.38762,Mnirbhay1_4,AKHA,4,M,ENG,stimuli_raw/wav/Mrajesh1.wav,230.39151,230.76,Mrajesh1_64,ABHA,64,M,HIN,stimuli_raw/wav/FNiralee1.wav,65.94037,66.46534,FNiralee1_5,AKHA,5,F,kʰ,ENG,t_0859511
TgtOth,kʰ,ɽʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,ENG,stimuli_raw/wav/FNiralee1.wav,889.96685,890.44296,FNiralee1_104,ARTHA,104,F,HIN,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0964777
OthTgt,kʰ,ɽʱ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,ENG,stimuli_raw/wav/Mrajesh1.wav,330.60577,331.02557,Mrajesh1_102,ARTHA,102,M,HIN,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0860654
TgtOth,kʰ,ɽ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,42.9,43.35,Fbhavya1_6,AKHA,6,F,ENG,stimuli_raw/wav/FNiralee2.wav,401.4192,401.84287,FNiralee2_105,ARTA,105,F,HIN,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0965533
OthTgt,kʰ,ɽ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,ENG,stimuli_raw/wav/Mrajesh1.wav,338.33398,338.69898,Mrajesh1_104,ARTA,104,M,HIN,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,kʰ,ENG,t_0861752
TgtOth,kʰ,ɳ,Mnirbhay,Mrajesh,FNiralee,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,ENG,stimuli_raw/wav/Mrajesh1.wav,344.12769,344.54976,Mrajesh1_106,ANRA,106,M,HIN,stimuli_raw/wav/FNiralee1.wav,65.94037,66.46534,FNiralee1_5,AKHA,5,F,kʰ,ENG,t_0860735
OthTgt,kʰ,ɳ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya1.wav,42.9,43.35,Fbhavya1_6,AKHA,6,F,ENG,stimuli_raw/wav/FNiralee2.wav,409.34166,409.81447,FNiralee2_108,ANRA,108,F,HIN,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0965575
TgtOth,g,ɡʱ,Fbhavya,FNiralee,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,29.04,29.4414,Fbhavya2_7,AGA,7,F,ENG,stimuli_raw/wav/FNiralee1.wav,103.95576,104.46157,FNiralee1_10,AGHA,10,F,HIN,stimuli_raw/wav/Mrajesh2.wav,28.58212,28.97,Mrajesh2_8,AGA,8,M,g,ENG,t_0486359
