phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
b,dʱ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,479.04454000000004,479.54849,FNiralee1_63,ABA,63,F,t_0916074,OTH,stimuli_raw/wav/Mrajesh1.wav,49,Mrajesh1_49,HIN,191.2513,190.81563,M,Mrajesh,ADHA,0.2946670085444786
b,ɽ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,225.77,226.19,Mrajesh1_63,ABA,63,M,t_1044480,OTH,stimuli_raw/wav/FNiralee1.wav,107,FNiralee1_107,HIN,907.41752,906.99719,F,FNiralee,ARTA,0.32714366669425554
b,ɽʱ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,208.52112,209.03307,FNiralee2_61,ABA,61,F,t_0437098,OTH,stimuli_raw/wav/Mrajesh2.wav,101,Mrajesh2_101,HIN,272.17,271.72983,M,Mrajesh,ARTHA,0.307618996029799
bʱ,b,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,231.85597,232.33,FNiralee2_65,ABHA,65,F,t_0442178,OTH,stimuli_raw/wav/Mrajesh1.wav,52,Mrajesh1_52,ENG,199.02,198.67358000000002,M,Mrajesh,ABA,0.31017831527603307
bʱ,d,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,494.7005,495.21627,FNiralee1_64,ABHA,64,F,t_0441318,OTH,stimuli_raw/wav/Mrajesh2.wav,47,Mrajesh2_47,ENG,129.07,128.7406,M,Mrajesh,ADA,0.3344349543774643
bʱ,kʰ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,234.08174,234.52,Mrajesh1_66,ABHA,66,M,t_1048806,OTH,stimuli_raw/wav/FNiralee2.wav,6,FNiralee2_6,ENG,22.8,22.2458,F,FNiralee,AKHA,0.2861907683581784
bʱ,l,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,496.92613,497.37098,FNiralee1_65,ABHA,65,F,t_0924255,OTH,stimuli_raw/wav/Mrajesh2.wav,77,Mrajesh2_77,ENG,207.72,207.35908999999998,M,Mrajesh,ALA,0.31172603860810744
bʱ,n,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,231.85597,232.33,FNiralee2_65,ABHA,65,F,t_0438897,OTH,stimuli_raw/wav/Mrajesh1.wav,53,Mrajesh1_53,ENG,200.86,200.47,M,Mrajesh,ANA,0.2838892113311135
bʱ,s,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,180.16218,180.53,Mrajesh2_66,ABHA,66,M,t_0563787,OTH,stimuli_raw/wav/FNiralee2.wav,88,FNiralee2_88,ENG,348.08423999999997,347.6,F,FNiralee,ASA,0.3538351871516073
bʱ,ɾ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,178.37131000000005,178.72,Mrajesh2_65,ABHA,65,M,t_0562526,OTH,stimuli_raw/wav/FNiralee1.wav,73,FNiralee1_73,ENG,588.01231,587.54402,F,FNiralee,ARA,0.34316410441087863
bʱ,ʃ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,230.39151,230.76,Mrajesh1_64,ABHA,64,M,t_1046932,OTH,stimuli_raw/wav/FNiralee2.wav,84,FNiralee2_84,ENG,336.21,335.74,F,FNiralee,AXA,0.3834301553862463
d,dʱ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,376.87997,377.41,FNiralee1_48,ADA,48,F,t_0906582,OTH,stimuli_raw/wav/Mrajesh1.wav,51,Mrajesh1_51,HIN,194.90636999999998,194.50738,M,Mrajesh,ADHA,0.27903707169950526
d,ɖ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,181.49373,181.88,Mrajesh1_47,ADA,47,M,t_1022477,OTH,stimuli_raw/wav/FNiralee2.wav,34,FNiralee2_34,HIN,124.1817,123.68566000000001,F,FNiralee,ADRA,0.2208901381780859
d,ɖʱ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,126.92788999999999,127.29,Mrajesh2_46,ADA,46,M,t_0544333,OTH,stimuli_raw/wav/FNiralee2.wav,38,FNiralee2_38,HIN,135.24376,134.74537,F,FNiralee,ADRHA,0.3104457434984442
d,ɽ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,372.64645,373.15218,FNiralee1_46,ADA,46,F,t_0906742,OTH,stimuli_raw/wav/Mrajesh1.wav,105,Mrajesh1_105,HIN,340.55942999999996,340.15351,M,Mrajesh,ARTA,0.30394086418643373
