phone_X,language_X,AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,triplet_id,distance_OTH,phone_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,phone_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,sex_TGT,speaker_TGT,word_TGT
b,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,479.04454000000004,479.54849,FNiralee1_63,ABA,63,F,t_0916074,0.294667008544479,dʱ,stimuli_raw/wav/Mrajesh1.wav,49,Mrajesh1_49,HIN,191.2513,190.81563,M,Mrajesh,ADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,225.77,226.19,Mrajesh1_63,ABA,63,M,t_1044480,0.327143666694256,ɽ,stimuli_raw/wav/FNiralee1.wav,107,FNiralee1_107,HIN,907.41752,906.99719,F,FNiralee,ARTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,208.52112,209.03307,FNiralee2_61,ABA,61,F,t_0437098,0.307618996029799,ɽʱ,stimuli_raw/wav/Mrajesh2.wav,101,Mrajesh2_101,HIN,272.17,271.72983,M,Mrajesh,ARTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,231.85597,232.33,FNiralee2_65,ABHA,65,F,t_0442178,0.310178315276033,b,stimuli_raw/wav/Mrajesh1.wav,52,Mrajesh1_52,ENG,199.02,198.67358,M,Mrajesh,ABA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,494.7005,495.21627,FNiralee1_64,ABHA,64,F,t_0441318,0.334434954377464,d,stimuli_raw/wav/Mrajesh2.wav,47,Mrajesh2_47,ENG,129.07,128.7406,M,Mrajesh,ADA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,234.08174,234.52,Mrajesh1_66,ABHA,66,M,t_1048806,0.286190768358178,kʰ,stimuli_raw/wav/FNiralee2.wav,6,FNiralee2_6,ENG,22.8,22.2458,F,FNiralee,AKHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,496.92613,497.37098,FNiralee1_65,ABHA,65,F,t_0924255,0.311726038608107,l,stimuli_raw/wav/Mrajesh2.wav,77,Mrajesh2_77,ENG,207.72,207.35909,M,Mrajesh,ALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,231.85597,232.33,FNiralee2_65,ABHA,65,F,t_0438897,0.283889211331114,n,stimuli_raw/wav/Mrajesh1.wav,53,Mrajesh1_53,ENG,200.86,200.47,M,Mrajesh,ANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,180.16218,180.53,Mrajesh2_66,ABHA,66,M,t_0563787,0.353835187151607,s,stimuli_raw/wav/FNiralee2.wav,88,FNiralee2_88,ENG,348.08424,347.6,F,FNiralee,ASA,0.194893774641104,bʱ,stimuli_raw/wav/Fbhavya2.wav,65,Fbhavya2_65,HIN,194.56529,194.15,F,Fbhavya,ABHA
bʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,178.37131000000005,178.72,Mrajesh2_65,ABHA,65,M,t_0562526,0.343164104410879,ɾ,stimuli_raw/wav/FNiralee1.wav,73,FNiralee1_73,ENG,588.01231,587.54402,F,FNiralee,ARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bʱ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,230.39151,230.76,Mrajesh1_64,ABHA,64,M,t_1046932,0.383430155386246,ʃ,stimuli_raw/wav/FNiralee2.wav,84,FNiralee2_84,ENG,336.21,335.74,F,FNiralee,AXA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,376.87997,377.41,FNiralee1_48,ADA,48,F,t_0906582,0.279037071699505,dʱ,stimuli_raw/wav/Mrajesh1.wav,51,Mrajesh1_51,HIN,194.90637,194.50738,M,Mrajesh,ADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,181.49373,181.88,Mrajesh1_47,ADA,47,M,t_1022477,0.220890138178086,ɖ,stimuli_raw/wav/FNiralee2.wav,34,FNiralee2_34,HIN,124.1817,123.68566,F,FNiralee,ADRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,126.92788999999999,127.29,Mrajesh2_46,ADA,46,M,t_0544333,0.310445743498444,ɖʱ,stimuli_raw/wav/FNiralee2.wav,38,FNiralee2_38,HIN,135.24376,134.74537,F,FNiralee,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
